stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534373.304236,-16.562100,18.874500,13.203115,-14.460200,18.960500,281,1,1,2.136024,0.866680,-14.680492,20.206147,0.806629
1783534373.332768,-16.356100,18.920100,11.463334,-14.056800,18.865300,275,1,1,1.924619,0.926954,-14.654096,20.211064,0.803470
1783534373.433700,-16.145700,18.959600,9.437790,-14.056800,18.865300,287,0,1,1.924619,0.926954,-14.399131,20.189600,0.403470
1783534373.460396,-15.940400,18.990300,7.185284,-13.870300,18.807700,263,0,1,1.924619,0.926954,-14.146837,20.150703,0.403470
1783534373.558896,-15.730900,19.013000,4.832767,-13.697600,18.744200,268,0,1,1.924619,0.926954,-13.891217,20.098804,0.403470
1783534373.627171,-15.530300,19.026700,2.585203,-13.508300,18.663000,277,0,1,1.924619,0.926954,-13.649450,20.039521,0.403470
1783534373.696401,-15.300300,19.032500,-0.108145,-13.328200,18.575700,283,0,1,1.924619,0.926954,-13.373934,19.955820,0.403470
1783534373.767162,-15.092900,19.028100,-2.721450,-13.126500,18.465500,298,0,1,1.924619,0.926954,-13.126439,19.862627,0.403470
1783534373.834887,-14.863500,19.012100,-5.680169,-12.949300,18.357500,313,0,1,1.924619,0.926954,-12.856585,19.744013,0.403470
1783534373.899915,-14.638400,18.984800,-8.631308,-12.758300,18.229100,303,1,1,1.924619,0.926954,-12.596465,19.612418,0.403470
1783534373.923166,-14.430800,18.949000,-11.369075,-12.412300,17.961300,308,2,1,1.924619,0.926954,-12.361217,19.478369,0.403470
1783534374.034200,-14.228400,18.904100,-14.055864,-12.412300,17.961300,328,1,1,1.924619,0.926954,-12.136277,19.335873,0.403470
1783534374.061557,-14.022200,18.847900,-16.889914,-12.256500,17.824200,341,0,1,1.924619,0.926954,-11.911288,19.175703,0.403470
1783534374.164465,-13.822000,18.782600,-19.687188,-12.101600,17.676500,308,0,1,1.924619,0.926954,-11.697606,19.006995,0.403470
1783534374.192049,-13.613300,18.702700,-22.661451,-11.954500,17.525400,329,2,1,1.924619,0.926954,-11.480124,18.816564,0.403470
1783534374.290522,-13.426500,18.620400,-25.331651,-11.804600,17.359200,344,0,1,1.924619,0.926954,-11.290336,18.634762,0.403470
1783534374.316970,-13.246600,18.531000,-27.935240,-11.549400,17.044100,308,1,1,1.924619,0.926954,-11.111988,18.448311,0.403470
1783534374.420381,-13.068200,18.432000,-30.577039,-11.549400,17.044100,313,0,1,1.924619,0.926954,-10.939668,18.251011,0.403470
1783534374.448869,-12.894500,18.324800,-33.211578,-11.428800,16.879100,342,0,1,1.924619,0.926954,-10.776537,18.046164,0.403470
